Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"Nintendo 3DS","Games","Owned","Pokémon X","United Kingdom","Official","Nintendo, The Pokemon Company","Game Freak","Action, Adventure, RPG","Nov 6, 2025","CIB+","24.81","31.2","65.57","31.2","?",?,?,?,"","","87",
"Nintendo 3DS","Games","Owned","Pokemon Y","United Kingdom","Official","Nintendo","Game Freak","RPG","Nov 6, 2025","CIB+","29.99","33.74","60.64","33.74","?",?,?,?,"","","88",
"Nintendo DS","Games","Owned","Art Academy","United Kingdom","Official","Nintendo","Headstrong Games","Life Sim","Nov 6, 2025","CIB+","3.66","4.98","9.52","4.98","?",?,?,?,"","","75",
"Nintendo DS","Games","Owned","Ben 10 Ultimate Alien: Cosmic Destruction","United Kingdom","Official","D3 Publisher Inc.","Griptonite Games","Action, Adventure","Nov 6, 2025","CIB+","5.7","6.43","13.71","6.43","?",?,?,?,"GAME Sticker","","Missing Field",
"Nintendo DS","Games","Owned","Beyblade Metal Fusion: Cyber Pegasus","United Kingdom","Official","Hudson Soft","Hudson Soft","Action, Adventure","Nov 6, 2025","CIB+","7.38","10.53","50.83","10.53","?",?,?,?,"Bey is used and separate","","Missing Field",
"Nintendo DS","Games","Owned","Bionicle Heroes","United Kingdom","Official","Eidos Interactive","Amaze Entertainment","Action, First-person shooter","Nov 6, 2025","CIB+","5.96","10.83","25.64","10.83","?",?,?,?,"GAME Sticker","","72",
"Nintendo DS","Games","Owned","Catz 2","United Kingdom","Official","Ubisoft","Powerhead Games","Life Sim","Nov 6, 2025","Loose","4.08","4.49","6.28","4.08","?",?,?,?,"","","Missing Field",
"Nintendo DS","Games","Owned","Code Lyoko: Fall of X.A.N.A.","United Kingdom","Official","The Game Factory","The Game Factory","Action, Adventure","Nov 6, 2025","CIB+","?","32.85","61.74","32.85","?",?,?,?,"","","51",
"Nintendo DS","Games","Owned","Inazuma Eleven 2: Firestorm","United Kingdom","Official","Nintendo","Level-5","RPG, Sports","Nov 6, 2025","CIB+","18.72","27.16","63.84","27.16","?",?,?,?,"","","74",
"Nintendo DS","Games","Owned","Learn with Pokémon: Typing Adventure","United Kingdom","Official","Nintendo","Genius Sonority Inc.","Education, Family","Nov 6, 2025","CIB+","21.68","133.95","256.8","133.95","?",?,?,?,"Missing Stand","","Missing Field",
"Nintendo DS","Games","Owned","Mechanic Master","United Kingdom","Official","Midway","Most Wanted Entertainment","Puzzle","Nov 6, 2025","CIB+","3.53","3.59","7.5","3.59","?",?,?,?,"","","76",
"Nintendo DS","Games","Owned","Metropolis Crimes","United Kingdom","Official","Ubisoft Entertainment","Lexis Numerique","Adventure","Nov 6, 2025","CIB+","?","6.35","11.71","6.35","?",?,?,?,"","","Missing Field",
"Nintendo DS","Games","Owned","Might & Magic: Clash of Heroes","United Kingdom","Official","Ubisoft","Capybara Games","RPG, Puzzle","Nov 6, 2025","CIB+","5.21","21.05","30.79","21.05","?",?,?,?,"","","86",
"Nintendo DS","Games","Owned","TouchMaster 2","United Kingdom","Official","Midway Games","Midway Studios - San Diego","Puzzle","Nov 6, 2025","Boxed+","3.93","4.63","6.97","3.93","?",?,?,?,"","","76",
"Nintendo DS","Games","Owned","New Super Mario Bros.","United Kingdom","Official","Nintendo","Nintendo EAD","Platformer","Nov 6, 2025","CIB+","11.45","12.22","96.78","12.22","?",?,?,?,"","","89",
"Nintendo DS","Systems","Owned","Nintendo DSi XL [25th Anniversary Edition]","United Kingdom","Official","Nintendo","Nintendo","Missing Field","Nov 6, 2025","CIB+","87.04","221.75","420.58","221.75","?",?,?,?,"","","Missing Field",
"Nintendo DS","Games","Owned","Playmobil: Pirates","United States of America","Official","Dreamcatcher","DreamCatcher Interactive Inc.","Action, Adventure","Nov 6, 2025","Boxed","6.1","8.03","21.81","7.97","?",?,?,?,"EU Spanish ","","Missing Field",
"Nintendo DS","Games","Owned","Pokémon Black Version","United Kingdom","Official","Nintendo","Game Freak","Adventure, RPG","Nov 6, 2025","CIB+","43.72","56.25","173.12","56.25","?",?,?,?,"Cartridge is opened up","","87",
"Nintendo DS","Games","Owned","Pokémon Black Version 2","United Kingdom","Official","Nintendo, The Pokemon Company","Game Freak","Adventure, RPG","Nov 6, 2025","CIB+","86.52","104.57","329.74","104.57","?",?,?,?,"Corroded","","80",
"Nintendo DS","Games","Owned","Pokémon Pearl Version","United Kingdom","Official","Nintendo","Game Freak","Adventure, RPG","Nov 6, 2025","CIB+","24.48","28.35","290.24","28.35","?",?,?,?,"","","85",
"Nintendo DS","Games","Owned","Pokémon SoulSilver Version [Pokéwalker Bundle]","United Kingdom","Official","Nintendo","Game Freak","Adventure, RPG, Strategy","Nov 6, 2025","CIB+","131.04","253.3","549.62","253.3","?",?,?,?,"","","87",
"Nintendo DS","Games","Owned","Pokémon White Version","United Kingdom","Official","Nintendo","Game Freak","Adventure, RPG, Strategy","Nov 6, 2025","CIB+","50.36","54.06","147.27","54.06","?",?,?,?,"ES","","87",
"Nintendo DS","Accessories","Owned","Pokewalker","United States of America","Official","Missing Field","Missing Field","Missing Field","Jan 29, 2026","CIB+","75.81","215.44","66.01","215.44","?",?,?,?,"","","Missing Field",
"Nintendo DS","Games","Owned","Practise English - Inglés para el dia a dia","Spain","Official","Nintendo","Plato","Education","Nov 6, 2025","CIB+","1.87","3.64","14.13","3.64","?",?,?,?,"","","Missing Field",
"Nintendo DS","Games","Owned","Race Driver: GRID","United Kingdom","Official","Codemasters","Firebrand Games","Racing","Nov 6, 2025","CIB+","7.53","8.14","15.16","8.14","?",?,?,?,"","","79",
"Nintendo DS","Games","Owned","Rango","France","Official","Electronic Arts, Paramount Digital Entertainment","Behaviour Interactive","Action, Adventure","Nov 6, 2025","CIB+","-1.0", "-1.0", "-1.0", "-1.0","?",?,?,?,"Spanish ","","55",
"Nintendo DS","Games","Owned","Shaun White Snowboarding","United Kingdom","Official","Ubisoft","Ubisoft","Sports","Nov 6, 2025","CIB+","4.11","5.94","10.85","5.94","?",?,?,?,"","","63",
"Nintendo DS","Games","Owned","SimCity Creator","United Kingdom","Official","EA Games","EA Games","Management Sim, Strategy","Nov 6, 2025","CIB+","5.18","7.05","15.5","7.05","?",?,?,?,"","","69",
"Nintendo DS","Games","Owned","Star Fox Command","United Kingdom","Official","Nintendo","Q-Games","Adventure, Flight Sim","Nov 6, 2025","CIB+","4.05","18.8","43.11","18.8","?",?,?,?,"","","76",
"Nintendo DS","Games","Owned","Super Mario 64 DS","United Kingdom","Official","Nintendo","Nintendo","Action, Adventure, Platformer","Nov 6, 2025","Loose","10.2","14.62","167.15","10.2","?",?,?,?,"","","85",
"Nintendo DS","Games","Owned","Tim Power: Klusjesman","Germany","Official","Ubisoft","Nintendo","RPG","Nov 6, 2025","CIB+","-1.0", "-1.0", "-1.0", "-1.0","?",?,?,?,"Spanish ","","Missing Field",
"Nintendo DS","Games","Owned","Transformers: Revenge of the Fallen - Decepticons","United Kingdom","Official","Activision","Vicarious Visions","Action, First-person shooter","Nov 6, 2025","CIB+","3.38","5.95","10.85","5.95","?",?,?,?,"","","66",
"Nintendo DS","Games","Owned","Winx Club: Saving Alfea","United Kingdom","Official","Little Orbit","1st Playable Productions","Action","Nov 9, 2025","Loose","-1.0", "-1.0", "-1.0", "-1.0","?",?,?,?,"","","Missing Field",
"amiibo","Toys To Life","Owned","Charizard","United States of America","Official","Nintendo","Nintendo","Missing Field","Nov 6, 2025","Loose","9.58","?","14.3","9.58","?",?,?,?,"","","Missing Field",
"amiibo","Toys To Life","Owned","Cloud","United States of America","Official","Nintendo","Nintendo","Missing Field","Dec 1, 2025","New","16.63","?","21.47","21.47","?",?,?,?,"","","Missing Field",
"amiibo","Toys To Life","Owned","Joker","United States of America","Official","Nintendo","Nintendo","Missing Field","Nov 6, 2025","New","12.14","?","15.95","15.95","?",?,?,?,"","","Missing Field",
"amiibo","Toys To Life","Owned","Link [8 Bit]","United States of America","Official","Nintendo","Nintendo","Missing Field","Nov 6, 2025","Loose","13.44","?","22.06","13.44","?",?,?,?,"","","Missing Field",
"amiibo","Toys To Life","Owned","Link [Super Smash Bros]","United States of America","Official","Nintendo","Nintendo","Missing Field","Nov 6, 2025","Loose","12.41","?","21.94","12.41","?",?,?,?,"","","Missing Field",
"amiibo","Toys To Life","Owned","Noah & Mio 2-Pack","United States of America","Official","Nintendo","Nintendo","Missing Field","Nov 6, 2025","New","21.41","?","28.08","28.08","?",?,?,?,"","","Missing Field",
"amiibo","Toys To Life","Owned","Pikachu","United States of America","Official","Nintendo","Nintendo","Missing Field","Nov 6, 2025","Loose","7.67","?","13.43","7.67","?",?,?,?,"","","Missing Field",
"amiibo","Toys To Life","Owned","Pyra & Mythra 2-Pack","United States of America","Official","Nintendo","Nintendo","Missing Field","Nov 6, 2025","New","28.93","?","43.62","43.62","?",?,?,?,"","","Missing Field",
"amiibo","Toys To Life","Owned","Sephiroth","United States of America","Official","Nintendo","Nintendo","Missing Field","Nov 6, 2025","New","18.28","?","26.38","26.38","?",?,?,?,"","","Missing Field",
"amiibo","Toys To Life","Owned","Shulk","United States of America","Official","Nintendo","Nintendo","Missing Field","Nov 6, 2025","New","9.69","?","15.15","15.15","?",?,?,?,"","","Missing Field",
"amiibo","Toys To Life","Owned","Wolf Link","United States of America","Official","Nintendo","Nintendo","Missing Field","Nov 6, 2025","Loose","17.75","?","26.38","17.75","?",?,?,?,"","","Missing Field",
"amiibo","Toys To Life","Owned","Zelda & Loftwing","United States of America","Official","Nintendo","Nintendo","Missing Field","Nov 6, 2025","New","11.28","?","15.61","15.61","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Advance Wars 1+2: Re-Boot Camp","United States of America","Official","Nintendo","WayForward Technologies","Strategy","Nov 6, 2025","CIB+","30.69","31.22","35","31.22","?",?,?,?,"","","82",
"Nintendo Switch","Games","Owned","Afterimage [Deluxe Edition]","United Kingdom","Official","Modus Games","Missing Field","Action, Adventure, RPG, Platformer","Nov 7, 2025","New","?","27.86","31.41","31.41","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","AI: The Somnium Files - nirvanA Initiative","United Kingdom","Official","Spike Chunsoft","Spike Chunsoft","Action, Puzzle","Nov 6, 2025","CIB+","22.3","27.17","34.78","27.17","?",?,?,?,"","","83",
"Nintendo Switch","Games","Owned","AI: The Somnium Files [Special Agent Edition]","United Kingdom","Official","Spike Chunsoft","Spike Chunsoft","Action, Adventure","Nov 6, 2025","CIB+","98.58","101.85","124.82","101.85","?",?,?,?,"","","86",
"Nintendo Switch","Games","Owned","Animal Crossing: New Horizons","United Kingdom","Official","Nintendo","Nintendo","Life Sim","Nov 6, 2025","CIB+","25.44","30.29","35.84","30.29","?",?,?,?,"","","90",
"Nintendo Switch","Games","Owned","Animal Well [Limited Run]","United States of America","Official","Limited Run Games, Big Mode","Shared Memory","Adventure, Puzzle, Platformer","Nov 6, 2025","CIB+","31.11","51.38","34.47","51.38","?",?,?,?,"","","90",
"Nintendo Switch","Games","Owned","Anonymous;Code [Steelbook Launch Edition]","United Kingdom","Official","Spike Chunsoft, Numskull Games","MAGES. Inc.","Adventure, RPG","Nov 7, 2025","CIB+","?","21.98","31.73","21.98","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Astral Chain","United Kingdom","Official","Nintendo","PlatinumGames","Action, Adventure","Nov 6, 2025","CIB+","30.96","32.14","51.61","32.14","?",?,?,?,"","","87",
"Nintendo Switch","Games","Owned","Balatro [Special Edition]","United Kingdom","Official","PlayStack Ltd","LocalThunk","Card, Roguelike","Nov 6, 2025","CIB+","18.19","30.38","39.32","30.38","?",?,?,?,"","","90",
"Nintendo Switch","Games","Owned","Bayonetta Origins: Cereza and the Lost Demon","United Kingdom","Official","Nintendo","PlatinumGames","Action, Adventure","Nov 6, 2025","CIB+","9.45","18.48","24.28","18.48","?",?,?,?,"","","81",
"Nintendo Switch","Games","Owned","Blasphemous II","United Kingdom","Official","Team17 Software Limited","The Game Kitchen","Action, Adventure, Platformer","Nov 6, 2025","CIB+","21.62","25.55","40.74","25.55","?",?,?,?,"","","84",
"Nintendo Switch","Games","Owned","Bravely Default II","United Kingdom","Official","Nintendo","Square Enix","RPG","Nov 6, 2025","CIB+","14.23","16.11","23.42","16.11","?",?,?,?,"","","76",
"Nintendo Switch","Games","Owned","Catherine: Full Body","United Kingdom","Official","Atlus","Atlus","Action, Puzzle","Nov 6, 2025","CIB+","19.67","20.56","32.51","20.56","?",?,?,?,"","","80",
"Nintendo Switch","Games","Owned","Celeste","United States of America","Official","Limited Run Games","Matt Makes Games","Adventure, Platformer","Nov 6, 2025","CIB+","31.98","34.16","51.07","34.16","?",?,?,?,"","","92",
