Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"Nintendo Switch","Games","Owned","Loop Hero [Special Reserve]","United States of America","Official","Devolver Digital, Special Reserve Games","Four Quarters","Adventure, RPG, Strategy, Board","Nov 6, 2025","New","9.93","14.73","20.05","20.05","?",?,?,?,"","","83",
"Nintendo Switch","Games","Owned","Mario + Rabbids: Sparks of Hope","United Kingdom","Official","Ubisoft","Ubisoft Milan","Adventure, Strategy","Nov 6, 2025","CIB+","10.65","12.18","16.03","12.18","?",?,?,?,"","","86",
"Nintendo Switch","Games","Owned","Marvel Ultimate Alliance 3: The Black Order","United Kingdom","Official","Nintendo","Team Ninja","Action, RPG","Nov 6, 2025","CIB+","29.15","32.11","47.92","32.11","?",?,?,?,"","","73",
"Nintendo Switch","Games","Owned","Master Detective Archives: RAIN CODE [Mysteriful Limited Edition]","United Kingdom","Official","Spike Chunsoft","Spike Chunsoft Co., Ltd.","Action, Adventure","Nov 6, 2025","CIB+","?","58.97","77.35","58.97","?",?,?,?,"","","77",
"Nintendo Switch","Games","Owned","Melon Journey: Bittersweet Memories [Limited Edition]","Japan","Official","Beep Japan","Froach Club","Adventure","Nov 7, 2025","CIB+","?","47.51","58.77","47.51","?",?,?,?,"","","68",
"Nintendo Switch","Games","Owned","Metal Slug Tactics","United States of America","Official","DotEmu, SNK, Limited Run Games","Leikir Studio","RPG, Strategy","Nov 6, 2025","CIB+","26.37","27.66","32.72","27.66","?",?,?,?,"","","77",
"Nintendo Switch","Games","Owned","Metroid Dread ","United Kingdom","Official","Nintendo","Mercury Steam Entertainment S.L.","Action, Adventure","Nov 6, 2025","CIB+","23.76","29.91","40.29","29.91","?",?,?,?,"","","88",
"Nintendo Switch","Games","Owned","Metroid Prime Remastered","United Kingdom","Official","Nintendo","Iron Galaxy Studios, Retro Studios","Action, Adventure, First-person shooter","Nov 6, 2025","CIB+","26.55","27.6","31.98","27.6","?",?,?,?,"","","94",
"Nintendo Switch","Games","Owned","Mika and the Witch's Mountain","United States of America","Official","Limited Run Games","Chibig, Nukefist","Action, Adventure","Jun 10, 2026","CIB+","23.79","55.58","59.37","55.58","-1.0",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Needy Streamer Overload","United Kingdom","Official","Serenity Forge","WSS Playground","Visual Novel","Nov 6, 2025","CIB+","?","31.88","33.77","31.88","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","NEO: The World Ends with You","United Kingdom","Official","Square Enix","h.a.n.d. Inc.","RPG","Nov 6, 2025","CIB+","21","24","30.27","24","?",?,?,?,"","","82",
"Nintendo Switch","Games","Owned","Neon Blood [Limited Edition]","United Kingdom","Official","Meridiem Games","ChaoticBrain Studios","Adventure, RPG","Nov 6, 2025","CIB+","?","18.95","22.19","18.95","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Neva [Devolver Deluxe]","United Kingdom","Official","Devolver Digital","Nomada Studio","Adventure, Puzzle, Platformer","Nov 6, 2025","CIB+","-1.0", "-1.0", "-1.0", "-1.0","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","New Pokémon Snap","United Kingdom","Official","Nintendo","Bandai Namco Studios","Adventure, First-person shooter","Nov 6, 2025","CIB+","25.63","29.2","37.59","29.2","?",?,?,?,"","","79",
"Nintendo Switch","Games","Owned","Ni no Kuni: Wrath of the White Witch","United Kingdom","Official","Missing Field","Level 5","RPG","Nov 6, 2025","CIB+","24.6","26.23","32.75","26.23","?",?,?,?,"","","84",
"Nintendo Switch","Games","Owned","Ninja Gaiden: Ragebound","United Kingdom","Official","Missing Field","Missing Field","Platformer","Nov 6, 2025","CIB+","20.74","25.89","43","25.89","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Systems","Owned","Nintendo Switch [Diablo III Limited Edition]","United Kingdom","Official","Nintendo","Nintendo","Missing Field","Nov 6, 2025","CIB+","231.31","341.73","444.09","341.73","?",?,?,?,"Roser","","Missing Field",
"Nintendo Switch","Games","Owned","No Sleep For Kaname Date – From AI: THE SOMNIUM FILES","United States of America","Official","Spike Chunsoft","Spike Chunsoft","Adventure","Nov 6, 2025","CIB+","30.77","33.27","34.13","33.27","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Octopath Traveler","United Kingdom","Official","Square Enix","Square Enix","RPG","Nov 6, 2025","CIB+","25.21","29.13","49.62","29.13","?",?,?,?,"","","83",
"Nintendo Switch","Games","Owned","Ōkami HD","Japan","Official","Capcom","Clover Studio","Action, Adventure","Nov 6, 2025","CIB+","23.26","23.88","24.64","23.88","?",?,?,?,"","","89",
"Nintendo Switch","Games","Owned","Omori","United States of America","Official","Fangamer","OMOCAT","RPG","Nov 6, 2025","CIB+","26.38","27.09","32.85","27.09","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Paper Mario: The Origami King","United Kingdom","Official","Nintendo","Intelligent Systems","Adventure, RPG","Nov 6, 2025","CIB+","20.82","22.24","27.05","22.24","?",?,?,?,"","","80",
"Nintendo Switch","Games","Owned","Persona 5 Strikers [Bonus Content Code Included]","United Kingdom","Official","Sega","Omega Force, P-Studio","Action, RPG, Hack 'n Slash","Nov 6, 2025","CIB+","18.19","18.19","21.09","18.19","?",?,?,?,"","","81",
"Nintendo Switch","Games","Owned","Persona 5 Tactica","United Kingdom","Official","Sega","P-Studio","RPG","Nov 6, 2025","CIB+","7.05","13.73","17.75","13.73","?",?,?,?,"","","79",
"Nintendo Switch","Games","Owned","Pokémon Legends: Arceus","United Kingdom","Official","Nintendo","Game Freak","Action, Adventure, RPG","Nov 6, 2025","CIB+","32.9","33.4","43.63","33.4","?",?,?,?,"","","83",
"Nintendo Switch","Games","Owned","Pokémon Mystery Dungeon: Rescue Team DX","United Kingdom","Official","Nintendo","Game Freak","Adventure, RPG, Roguelike","Nov 6, 2025","CIB+","29.12","34.15","46.49","34.15","?",?,?,?,"","","69",
"Nintendo Switch","Games","Owned","Pokemon Scarlet","United Kingdom","Official","Nintendo, The Pokemon Company","Game Freak","Action, RPG","Nov 6, 2025","CIB+","23.82","28.1","28.17","28.1","?",?,?,?,"","","72",
"Nintendo Switch","Games","Owned","Pokemon Shining Pearl","United Kingdom","Official","Nintendo, The Pokemon Company","ILCA","Action, RPG","Nov 6, 2025","CIB+","27.58","31.1","44.49","31.1","?",?,?,?,"1.0","","73",
"Nintendo Switch","Games","Owned","Pokemon: Let's Go, Pikachu!","United Kingdom","Official","Nintendo","Game Freak","RPG","Nov 6, 2025","CIB+","31.53","32.3","39.81","32.3","?",?,?,?,"","","79",
"Nintendo Switch","Games","Owned","Prince of Persia: The Lost Crown","United Kingdom","Official","Ubisoft","Ubisoft","Action, Adventure","Nov 6, 2025","CIB+","12.27","12.36","16.54","12.36","?",?,?,?,"","","88",
"Nintendo Switch","Games","Owned","Raidou Remastered: The Mystery of the Soulless Army","United Kingdom","Official","Atlus","Missing Field","Adventure","Nov 6, 2025","CIB+","?","30.21","34.93","30.21","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Reynatis [Deluxe Edition]","United Kingdom","Official","Arc System Works Co., Ltd., NIS America","FuRyu","Action, RPG","Nov 6, 2025","CIB+","?","32.36","43.85","32.36","?",?,?,?,"It has the missprint on the name","","Missing Field",
"Nintendo Switch","Games","Owned","River City Girls 1+2","Japan","Official","Arc System Works Co., Ltd.","WayForward Technologies","Adventure, Fighting","Nov 6, 2025","CIB+","33.67","34.98","45.35","34.98","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Rockman EXE Advanced Collection","Japan","Official","Capcom","Capcom","Action, RPG","Nov 6, 2025","CIB+","29","30.65","48.89","30.65","?",?,?,?,"","","77",
"Nintendo Switch","Games","Owned","Sakuna: Of Rice and Ruin","United Kingdom","Official","Marvelous","Edelweiss","Adventure, RPG","Nov 6, 2025","CIB+","13","19.17","23.09","19.17","?",?,?,?,"","","80",
"Nintendo Switch","Games","Owned","Scott Pilgrim EX","United States of America","Official","Limited Run Games","Tribute Games","Beat 'em up","Jun 10, 2026","CIB+","?","56.57","59.1","56.57","-1.0",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Sea of Stars [Limited Edition]","Japan","Official","Kakehashi Games","Missing Field","RPG","Nov 6, 2025","CIB+","?","43.63","56.57","43.63","?",?,?,?,"","","90",
"Nintendo Switch","Games","Owned","Shin Megami Tensei III: Nocturne HD Remaster","United Kingdom","Official","Atlus Co., Ltd.","Atlus","RPG","Nov 6, 2025","CIB+","19.22","21.06","29.59","21.06","?",?,?,?,"","","75",
"Nintendo Switch","Games","Owned","Shin Megami Tensei V","United Kingdom","Official","Sega","Atlus","RPG","Nov 6, 2025","CIB+","11.83","18.93","24.65","18.93","?",?,?,?,"","","84",
"Nintendo Switch","Games","Owned","Shin Megami Tensei V: Vengeance","United Kingdom","Official","Atlus Co., Ltd.","Atlus","Adventure, RPG","Nov 6, 2025","CIB+","20.52","26.59","23.44","26.59","?",?,?,?,"","","85",
"Nintendo Switch","Games","Owned","Star Ocean: The Second Story R","United Kingdom","Official","Square Enix","Square Enix","Action, RPG","Nov 6, 2025","CIB+","21.23","26.15","33.37","26.15","?",?,?,?,"","","87",
"Nintendo Switch","Games","Owned","Star Renegades","Japan","Official","Raw Fury","Massive Damage, Inc.","RPG","Nov 6, 2025","CIB+","15.7","16.72","20.33","16.72","?",?,?,?,"","","67",
"Nintendo Switch","Games","Owned","Super Bomberman R [Smile Price Collection]","Japan","Official","Konami","Konami","Puzzle","Nov 6, 2025","CIB+","-1.0", "-1.0", "-1.0", "-1.0","?",?,?,?,"","","62",
"Nintendo Switch","Games","Owned","Super Mario 3D All-Stars","United Kingdom","Official","Nintendo","Nintendo","Action, Adventure, Platformer","Nov 6, 2025","CIB+","42.7","51.82","78.75","51.82","?",?,?,?,"","","82",
"Nintendo Switch","Games","Owned","Super Mario Bros. Wonder","United Kingdom","Official","Nintendo","Nintendo EPD","Adventure, Platformer","Nov 7, 2025","CIB+","25.95","30.81","31.63","30.81","?",?,?,?,"","","92",
"Nintendo Switch","Games","Owned","Super Mario Galaxy 1 & 2","United Kingdom","Official","Nintendo","Missing Field","Action, Adventure, Platformer","Nov 6, 2025","CIB+","43.81","44.47","44.91","44.47","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Super Mario Odyssey","United Kingdom","Official","Nintendo","Nintendo EAD","Adventure, Platformer","Nov 6, 2025","CIB+","27.16","28.53","34.04","28.53","?",?,?,?,"","","97",
"Nintendo Switch","Games","Owned","Super Mario RPG","Japan","Official","Nintendo","Square Enix","RPG","Nov 6, 2025","CIB+","19.57","22.72","25.48","22.72","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Super Monkey Ball: Banana Blitz HD","United Kingdom","Official","Sega","Ryu ga Gotoku Studios","Action","Nov 6, 2025","CIB+","15.58","17.26","25.05","17.26","?",?,?,?,"","","63",
"Nintendo Switch","Games","Owned","Tactics Ogre: Reborn","United Kingdom","Official","Square Enix","Square Enix","RPG","Nov 6, 2025","CIB+","19.13","21.09","29.8","21.09","?",?,?,?,"","","84",
"Nintendo Switch","Games","Owned","Hundred Line: Last Defense Academy","United States of America","Official","XSEED Games","Media Vision, Too Kyo Games","RPG, Strategy, Visual Novel","Nov 6, 2025","CIB+","43.63","46.65","50.2","46.65","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Legend of Zelda: Breath of the Wild","United Kingdom","Official","Nintendo","Nintendo EPD","Action, Adventure","Nov 6, 2025","CIB+","28.05","29.74","35.1","29.74","?",?,?,?,"","","97",
"Nintendo Switch","Games","Owned","Legend of Zelda: Echoes of Wisdom","United Kingdom","Official","Nintendo","Grezzo","Action, Adventure","Nov 6, 2025","CIB+","26.8","27.39","31.4","27.39","?",?,?,?,"","","85",
"Nintendo Switch","Games","Owned","Legend of Zelda: Link's Awakening [Limited Edition]","United Kingdom","Official","Nintendo","Grezzo, Nintendo EAD","Action, Adventure","Nov 6, 2025","CIB+","84.39","97.46","136.74","97.46","?",?,?,?,"","","87",
"Nintendo Switch","Games","Owned","Legend of Zelda: Skyward Sword HD","United Kingdom","Official","Nintendo","Tantalus","Action, Adventure","Nov 6, 2025","CIB+","32.48","33.96","38.1","33.96","?",?,?,?,"","","81",
"Nintendo Switch","Games","Owned","Legend of Zelda: Tears of the Kingdom","United Kingdom","Official","Nintendo","Nintendo EPD","Action, Adventure, Sandbox","Nov 6, 2025","CIB+","32.01","32.33","32.87","32.33","?",?,?,?,"","","96",
"Nintendo Switch","Games","Owned","Messenger [Devolver Digital]","United Kingdom","Official","Devolver Digital","Sabotage Studio","Action, Platformer","Nov 6, 2025","CIB+","?","22.96","32.96","22.96","?",?,?,?,"","","86",
"Nintendo Switch","Games","Owned","Plucky Squire","United Kingdom","Official","Devolver Digital","All Possible Futures","Action, Adventure, Puzzle, Platformer","Nov 6, 2025","CIB+","11.61","15.44","26.58","15.44","?",?,?,?,"","","72",
"Nintendo Switch","Games","Owned","Tokyo Mirage Sessions #FE Encore","United Kingdom","Official","Nintendo","Atlus","Adventure, RPG, Strategy","Nov 6, 2025","CIB+","40.08","40.08","55.69","40.08","?",?,?,?,"","","81",
"Nintendo Switch","Games","Owned","Tomodachi Life: Living the Dream","United Kingdom","Official","Nintendo","Nintendo","Life Sim","May 18, 2026","CIB+","52.7","70.27","91.07","70.27","-1.0",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Triangle Strategy","United Kingdom","Official","Square Enix","Square Enix","Adventure, RPG, Strategy","Nov 6, 2025","CIB+","18.63","22.07","25.52","22.07","?",?,?,?,"","","83",
"Nintendo Switch","Games","Owned","Undertale [Collector's Edition]","United States of America","Official","Fangamer","Toby Fox","RPG","Nov 6, 2025","CIB+","78.13","78.76","95.38","78.76","?",?,?,?,"","","93",
"Nintendo Switch","Games","Owned","Unicorn Overlord","United Kingdom","Official","Atlus","Vanillaware","RPG","Nov 6, 2025","CIB+","20.74","31.82","32.33","31.82","?",?,?,?,"","","89",
"Nintendo Switch","Games","Owned","Unreal Life [Deluxe Edition]","Japan","Official","Missing Field","Hako Seikatsu","Adventure","Nov 6, 2025","CIB+","-1.0", "-1.0", "-1.0", "-1.0","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Wargroove [Deluxe Edition]","United Kingdom","Official","Sold Out","Chucklefish","Strategy","Nov 6, 2025","CIB","10.17","13.35","16.41","13.35","?",?,?,?,"","","84",
"Nintendo Switch","Games","Owned","Witch Spring 3 Re:Fine","United Kingdom","Official","G Choice","G Choice","RPG","Nov 6, 2025","CIB+","17.95","20.12","19.94","20.12","?",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","World of Horror","Japan","Official","Active Gaming Media, Playism, Ysbryd Games","panstasz","Adventure, RPG","Nov 6, 2025","CIB+","25.15","28.28","39.57","28.28","?",?,?,?,"","","81",
"Nintendo Switch","Games","Owned","Xenoblade Chronicles 2","United Kingdom","Official","Nintendo","Monolith Software, Inc.","Action, RPG","Nov 6, 2025","CIB+","26.64","31.59","44.16","31.59","-1.0",?,?,?,"","","83",
"Nintendo Switch","Games","Owned","Xenoblade Chronicles 2: Torna - The Golden Country","United Kingdom","Official","Nintendo","Monolith Soft","Action, RPG","Nov 6, 2025","CIB+","31.5","36.62","47.08","36.62","-1.0",?,?,?,"","","80",
"Nintendo Switch","Games","Owned","Xenoblade Chronicles 3","United Kingdom","Official","Nintendo","Monolith Software, Inc.","Action, RPG","Nov 6, 2025","CIB+","30.22","30.96","40.18","30.96","-1.0",?,?,?,"","","89",
"Nintendo Switch","Games","Owned","Xenoblade Chronicles X [Definitive Edition]","United Kingdom","Official","Nintendo","Monolith Soft","Action, RPG","Nov 6, 2025","CIB+","28.39","32.88","40.64","32.88","-1.0",?,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Xenoblade Chronicles: Definitive Edition [Collector's Set]","United Kingdom","Official","Nintendo","Monolith Software, Inc.","Action, RPG","Nov 6, 2025","CIB+","110.24","173.02","293.05","173.02","-1.0",?,?,?,"","","89",
"Sony PlayStation 5","Games","Owned","1348 Ex Voto","World","Digital","Dear Villagers","Sedleo","Action","Jun 10, 2026","Digital","-1.0", "-1.0", "-1.0", "-1.0","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Plague Tale: Requiem","United Kingdom","Official","Focus Home Interactive","Asobo Studio","Adventure, Stealth","Nov 6, 2025","CIB+","15.57","16.79","26.33","16.79","?",?,?,?,"","","82",
"Sony PlayStation 5","Games","Owned","Armored Core VI Fires of Rubicon [Launch Edition]","United Kingdom","Official","Bandai Namco Entertainment","FromSoftware, Inc.","Action, RPG","Nov 6, 2025","CIB+","13.94","18.72","28.49","18.72","?",?,?,?,"","","86",
"Sony PlayStation 5","Games","Owned","Astro Bot","United States of America","Official","Sony Interactive Entertainment","Team Asobi","Platformer","Nov 6, 2025","CIB+","27.02","27.86","33.55","27.86","?",?,?,?,"","","94",
"Sony PlayStation 5","Games","Owned","Atelier Ryza Secret Trilogy Deluxe Pack","World","Official","Koei Tecmo","Gust","RPG","Nov 19, 2025","CIB+","-1.0", "-1.0", "-1.0", "-1.0","?",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Atelier Yumia: The Alchemist of Memories & The Envisioned Land","United Kingdom","Official","Koei Tecmo","Gust Co. Ltd.","Adventure, RPG","Nov 6, 2025","CIB+","?","36.37","51.15","36.37","?",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Baldur's Gate III [Deluxe Edition]","United Kingdom","Official","Larian Studios","Larian Studios","RPG, Strategy","Nov 6, 2025","CIB+","83.62","105.33","137.5","105.33","?",?,?,?,"","","96",
"Sony PlayStation 5","Games","Owned","Black Myth: Wukong","United Kingdom","Official","Game Science","Game Science","Action, RPG","Nov 6, 2025","CIB+","41.4","41.67","48.18","41.67","?",?,?,?,"","","76",
"Sony PlayStation 5","Games","Owned","Clair Obscur: Expedition 33","United Kingdom","Official","Kepler Interactive","Sandfall Interactive","Action, Adventure, RPG","Nov 6, 2025","CIB+","24.63","26.23","37.11","26.23","?",?,?,?,"","","92",
"Sony PlayStation 5","Games","Owned","Control: Ultimate Edition","United Kingdom","Official","505 Games","Remedy Entertainment","Action, Adventure","Dec 5, 2025","CIB+","19.93","19.99","30.6","19.99","?",?,?,?,"","","85",
"Sony PlayStation 5","Games","Owned","Death Stranding 2: On the Beach","United Kingdom","Official","Sony Computer Entertainment","Kojima Productions (Konami)","Action, Adventure","Nov 6, 2025","CIB+","20.03","20.78","28.08","20.78","?",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Dragon Ball Z: Kakarot","United Kingdom","Official","Bandai Namco Entertainment","CyberConnect2 Co., Ltd.","Action, RPG","Nov 6, 2025","CIB+","8.92","9.54","22.11","9.54","?",?,?,?,"","","76",
"Sony PlayStation 5","Games","Owned","Elden Ring [Launch Edition]","United Kingdom","Official","Bandai Namco Entertainment","FromSoftware, Inc.","RPG","Nov 6, 2025","CIB+","20.33","30.14","51.99","30.14","?",?,?,?,"","","96",
"Sony PlayStation 5","Games","Owned","Final Fantasy VII Rebirth [Deluxe Edition]","United Kingdom","Official","Square Enix","Square Enix","RPG","Nov 6, 2025","CIB+","?","84.63","112.69","84.63","?",?,?,?,"","","92",
"Sony PlayStation 5","Games","Owned","Final Fantasy VII Remake Intergrade","United Kingdom","Official","Square Enix Europe","Square Enix","RPG","Nov 6, 2025","CIB+","16.78","25.15","30.39","25.15","?",?,?,?,"","","89",
"Sony PlayStation 5","Games","Owned","Final Fantasy XVI","United Kingdom","Official","Square Enix","Square Enix","Action, Adventure, RPG","Nov 6, 2025","CIB+","12.97","16.04","20.34","16.04","?",?,?,?,"","","87",
"Sony PlayStation 5","Games","Owned","Ghostwire: Tokyo","United Kingdom","Official","Bethesda Softworks","Tango gameworks","Action, Adventure","Nov 6, 2025","CIB+","7.71","13.12","16.89","13.12","?",?,?,?,"","","75",
"Sony PlayStation 5","Games","Owned","Gotham Knights [Collector's Edition]","United Kingdom","Official","Warner Bros. Interactive Entertainment","Warner Bros. Interactive Entertainment","Action, Adventure","Nov 6, 2025","CIB+","?","88.92","169.8","88.92","?",?,?,?,"","","67",
"Sony PlayStation 5","Games","Owned","Hi-Fi Rush [Deluxe Edition]","United States of America","Official","Limited Run Games, Krafton Inc.","Tango gameworks","Action, Adventure","May 26, 2026","CIB+","?","?","56.54","?","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Hogwarts Legacy","United Kingdom","Official","Warner Bros. Interactive Entertainment","Avalanche Software LLC","Action, Adventure","Nov 6, 2025","CIB+","9.4","12.9","20.09","12.9","?",?,?,?,"","","84",
"Sony PlayStation 5","Games","Owned","Hotel Barcelona","United Kingdom","Official","White Owls","Nighthawk Interactive","Action","Nov 6, 2025","CIB+","?","25.67","32.92","25.67","?",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Indika","United Kingdom","Official","11 Bit Studios","11 Bit Studios","Adventure","Nov 6, 2025","CIB+","17.12","23.17","30.81","23.17","?",?,?,?,"","","83",
"Sony PlayStation 5","Games","Owned","Judgment","United States of America","Official","Sega","Ryu ga Gotoku Studio","Action, Adventure","Nov 6, 2025","CIB+","19.27","21.19","23.75","21.19","?",?,?,?,"","","83",
"Sony PlayStation 5","Games","Owned","Kena: Bridge of Spirits [Deluxe Edition]","United Kingdom","Official","Maximum Games","Maximum Games","Action, Adventure","Nov 6, 2025","CIB+","18.05","20.68","24.24","20.68","?",?,?,?,"","","81",
"Sony PlayStation 5","Games","Owned","LEGO Star Wars: The Skywalker Saga","United States of America","Official","Warner Bros. Interactive Entertainment","TT Games","Action, Adventure","Nov 6, 2025","CIB+","8.56","9.76","13.44","9.76","?",?,?,?,"","","82",
"Sony PlayStation 5","Games","Owned","Like A Dragon Gaiden: The Man Who Erased His Name","China","Official","Sega","Ryu ga Gotoku Studio","Action, Adventure, RPG","Nov 6, 2025","CIB+","-1.0", "-1.0", "-1.0", "-1.0","?",?,?,?,"","","78",
"Sony PlayStation 5","Games","Owned","Like a Dragon: Infinite Wealth","United Kingdom","Official","Sega","Ryu ga Gotoku Studio","RPG","Nov 6, 2025","CIB","16.1","21.99","25.4","21.99","?",?,?,?,"","","89",
"Sony PlayStation 5","Games","Owned","Like a Dragon: Ishin!","United Kingdom","Official","Sega","Ryu ga Gotoku Studio","Action, Adventure","Nov 6, 2025","CIB+","11.81","13.74","20.85","13.74","?",?,?,?,"","","81",
"Sony PlayStation 5","Games","Owned","Lost Judgment","United States of America","Official","Sega","Ryu ga Gotoku Studio","Action, Adventure","Nov 6, 2025","CIB+","9.88","13.44","19.99","13.44","?",?,?,?,"","","82",
"Sony PlayStation 5","Games","Owned","Marvel's Spider-Man 2","United Kingdom","Official","Sony Interactive Entertainment","Insomniac Games","Action, Adventure","Nov 6, 2025","CIB+","26.02","29.52","35.69","29.52","?",?,?,?,"","","90",
"Sony PlayStation 5","Games","Owned","Marvel's Spider-Man: Miles Morales","United Kingdom","Official","Missing Field","Insomniac Games","Action, Adventure","Nov 6, 2025","CIB+","9.95","13.73","15.24","13.73","?",?,?,?,"","","85",
"Sony PlayStation 5","Games","Owned","Metaphor: ReFantazio [Collector's Edition]","United Kingdom","Official","SEGA Games","Atlus","RPG","Nov 6, 2025","CIB+","144.08","148.23","195.76","148.23","?",?,?,?,"","","94",
"Sony PlayStation 5","Games","Owned","Nioh Collection","United Kingdom","Official","Sony Interactive Entertainment","Team Ninja","Action, Adventure","Nov 6, 2025","New","25.47","30.22","36.04","36.04","?",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Persona 3 Reload [Aigis Edition]","United Kingdom","Official","Atlus Co., Ltd.","P-Studio","RPG","Nov 6, 2025","CIB+","?","118.4","222.94","118.4","?",?,?,?,"","","89",
"Sony PlayStation 5","Games","Owned","Pragmata","United Kingdom","Official","Capcom","Capcom","Action, Adventure","Apr 20, 2026","CIB+","39.35","49.65","46.15","49.65","-1.0",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Resident Evil 4 [Gold Edition]","United Kingdom","Official","Capcom","Capcom","Action, Adventure, Horror","Nov 6, 2025","CIB+","?","17.17","37.43","17.17","?",?,?,?,"","","93",
"Sony PlayStation 5","Games","Owned","Sonic Frontiers","United Kingdom","Official","Sega","Sonic Team","Platformer","Nov 6, 2025","CIB+","10.89","10.98","15.15","10.98","?",?,?,?,"","","71",
"Sony PlayStation 5","Games","Owned","Soul Hackers 2","United Kingdom","Official","Sega","Atlus","RPG","Nov 6, 2025","CIB+","8.93","12.18","16.03","12.18","?",?,?,?,"","","74",
"Sony PlayStation 5","Games","Owned","Star Wars Jedi: Fallen Order","United Kingdom","Official","Electronic Arts","Respawn Entertainment","Action, Adventure","Nov 6, 2025","CIB+","10","15.24","16.73","15.24","?",?,?,?,"","","Missing Field",
"Sony PlayStation 5","Games","Owned","Star Wars Jedi: Survivor","United Kingdom","Official","Electronic Arts","Respawn Entertainment","Action, Adventure","Nov 6, 2025","CIB+","11.06","11.87","12.85","11.87","?",?,?,?,"","","85",
"Sony PlayStation 5","Games","Owned","Stranger of Paradise: Final Fantasy Origin","United Kingdom","Official","Square Enix","Team Ninja","Action, RPG","Nov 6, 2025","CIB+","13.14","18.3","23.79","18.3","?",?,?,?,"","","72",
"Sony PlayStation 5","Games","Owned","Witcher III: Wild Hunt [Complete Edition]","United Kingdom","Official","CD Projekt Red","CD Projekt Red","Action, RPG","Nov 6, 2025","CIB+","14.58","15.66","19.6","15.66","?",?,?,?,"","","94",
"Sony PlayStation 5","Games","Owned","Tomb Raider I-III: Remastered","United States of America","Official","Aspyr Media, Inc., Limited Run Games","Aspyr Media, Inc.","Action, Adventure, Puzzle","Nov 6, 2025","CIB+","17.73","18.61","26.37","18.61","?",?,?,?,"","","75",
"Sony PlayStation 5","Games","Owned","Uncharted: Legacy of Thieves Collection","United Kingdom","Official","Sony","Naughty Dog Software","Action, Adventure","Nov 6, 2025","New","16.9","17.98","22.93","22.93","?",?,?,?,"","","87",
"Sony PlayStation 5","Games","Owned","Visions of Mana","United Kingdom","Official","Square Enix","Square Enix","Action, RPG","Nov 6, 2025","CIB+","13.31","17.5","32.21","17.5","?",?,?,?,"","","75",
"Sony PlayStation 5","Games","Owned","Yakuza: Like a Dragon","United Kingdom","Official","Sega","Ryu ga Gotoku Studio","Action, Adventure","Nov 6, 2025","CIB+","12.62","19.65","20.2","19.65","?",?,?,?,"","","86",
"Sony PlayStation 4","Games","Owned","13 Sentinels: Aegis Rim","United Kingdom","Official","Atlus Co., Ltd., Sega Europe","Vanillaware","Action, Adventure, RPG, Strategy","Nov 6, 2025","CIB+","12.4","19.71","25.96","19.71","?",?,?,?,"","","85",
"Sony PlayStation 4","Games","Owned","Plague Tale: Innocence","United Kingdom","Official","Focus Home Interactive","Asobo Studio","Action, Adventure","Nov 6, 2025","CIB+","9.61","18.95","27.28","18.95","?",?,?,?,"","","81",
"Sony PlayStation 4","Games","Owned","Alien: Isolation","United Kingdom","Official","Sega","The Creative Assembly","Action, Adventure, Horror","Nov 6, 2025","CIB+","13.92","15.16","21.01","15.16","?",?,?,?,"","","79",
"Sony PlayStation 4","Games","Owned","Bloodborne [Playstation Hits]","United Kingdom","Official","Sony Interactive Entertainment","FromSoftware, Inc.","Action, RPG","Nov 6, 2025","CIB+","11.14","11.56","12.53","11.56","?",?,?,?,"","","92",
